1a 11111111111111111111
1b 01111111111111111110
1c 01111111100111111110
1d 01111111000011111110
1e 00111111000011111100
1f 00011111000011111000
1g 00001111000011110000
1h 00000111000011100000
1i 00000011000011000000
1j 00000001000010000000
1k 00000000000000000000
2a 1111111111111111111111111111111111111111
2b 0111111111111111111001111111111111111110
2c 0111111110011111111001111111100111111110
2d 0111111100001111111001111111000011111110
2e 0011111100001111110000111111000011111100
2f 0001111100001111100000011111000011111000
2g 0000111100001111000000001111000011110000
2h 0000011100001110000000000111000011100000
2i 0000001100001100000000000011000011000000
2j 0000000100001000000000000001000010000000
2k 0000000000000000000000000000000000000000
3a 111111111111111111111111111111111111111111111111111111111111
3b 011111111111111111100111111111111111111001111111111111111110
3c 011111111001111111100111111110011111111001111111100111111110
3d 011111110000111111100111111100001111111001111111000011111110
3e 001111110000111111000011111100001111110000111111000011111100
3f 000111110000111110000001111100001111100000011111000011111000
3g 000011110000111100000000111100001111000000001111000011110000
3h 000001110000111000000000011100001110000000000111000011100000
3i 000000110000110000000000001100001100000000000011000011000000
3j 000000010000100000000000000100001000000000000001000010000000
3k 000000000000000000000000000000000000000000000000000000000000
4a 11111111111111111111111111111111111111111111111111111111111111111111111111111111
4b 01111111111111111110011111111111111111100111111111111111111001111111111111111110
4c 01111111100111111110011111111001111111100111111110011111111001111111100111111110
4d 01111111000011111110011111110000111111100111111100001111111001111111000011111110
4e 00111111000011111100001111110000111111000011111100001111110000111111000011111100
4f 00011111000011111000000111110000111110000001111100001111100000011111000011111000
4g 00001111000011110000000011110000111100000000111100001111000000001111000011110000
4h 00000111000011100000000001110000111000000000011100001110000000000111000011100000
4i 00000011000011000000000000110000110000000000001100001100000000000011000011000000
4j 00000001000010000000000000010000100000000000000100001000000000000001000010000000
4k 00000000000000000000000000000000000000000000000000000000000000000000000000000000
